wep_id,weapon_type_id,name,attack,true_attack,element_type,element_value,status_type,status_value,needs_awakening,affinity,rarity
173,3,Hunter's Knife I,112,80,0,0,0,0,0,false,1
174,3,Hunter's Knife II,126,90,0,0,0,0,0,false,1
175,3,Hunter's Knife III,140,100,0,0,0,0,0,false,2
176,3,Steel Knife I,168,120,0,0,0,0,0,false,3
177,3,Steel Knife II,182,130,0,0,0,0,0,false,4
178,3,Steel Knife III,196,140,0,0,2,120,0,true,5
179,3,Chrome Slicer I,224,160,0,0,2,150,0,true,6
180,3,Chrome Slicer II,252,180,0,0,2,240,0,true,6
181,3,Nergal Jack,280,200,5,120,0,0,0,false,7
182,3,Eradication Vanguard,294,210,5,150,0,0,0,false,8
183,3,Flame Knife I,182,130,1,120,0,0,10,false,4
184,3,Flame Knife II,196,140,1,120,0,0,10,false,5
185,3,Heat Edge,224,160,1,150,0,0,20,false,6
186,3,Corona,266,190,1,180,0,0,20,false,7
187,3,Heavy Bang,210,150,0,0,0,0,0,false,4
188,3,Heavy Bang+,252,180,3,270,0,0,0,true,6
189,3,Master Bang,280,200,3,330,0,0,0,true,7
190,3,Aqua Messer I,140,100,2,90,0,0,0,false,2
191,3,Aqua Messer II,168,120,2,120,0,0,0,false,3
192,3,Aqua Messer III,196,140,2,150,0,0,0,false,4
193,3,Rogue Wave I,210,150,2,180,0,0,0,false,5
194,3,Rogue Wave II,224,160,2,210,0,0,0,false,6
195,3,Rogue Wave III,252,180,2,240,0,0,0,false,6
196,3,Glacial Grace I,182,130,4,210,0,0,0,false,4
197,3,Glacial Grace II,196,140,4,240,0,0,0,false,5
198,3,Rimespire,210,150,4,300,0,0,0,false,6
199,3,Legia Rimespire,224,160,4,330,0,0,0,false,8
200,3,Princess Rapier,168,120,0,0,1,150,10,false,3
201,3,Queen Rapier,210,150,0,0,1,180,10,false,5
202,3,Queen Rose,238,170,0,0,1,210,10,false,6
203,3,Royal Rose,266,190,0,0,1,240,10,false,7
204,3,Lumu Knife I,168,120,0,0,0,0,0,false,3
205,3,Lumu Knife II,182,130,0,0,0,0,0,false,4
206,3,Lumu Tabar I,210,150,0,0,4,270,0,true,5
207,3,Lumu Tabar II,224,160,0,0,4,300,0,true,6
208,3,Lumu Tabar III,238,170,0,0,4,330,0,true,6
209,3,Blooming Knife I,154,110,0,0,1,210,0,false,2
210,3,Blooming Knife II,182,130,0,0,1,240,0,false,3
